,wallets,initiated_by_gr_participant,trx_gr_participants_during_round,trx_between_gr_participants,first_trx_d_round
80,0x109fe916d112d2bf54438523c486ff851f436e1f,False,False,False,True
81,0xd1c805676244085838262806ffb92b21421e5b8d,False,False,False,False
82,0x5d8dac3af0e4260930221888e11c80946f7414b0,False,False,False,True
83,0x16697647a512c12a1c1dc13ef5808541ad7e43ca,False,False,False,False
84,0x50b95efc04c70aea07a283ba105167709924d638,False,False,False,False
85,0x57511d586ad667b7e5032dfb51acfcf41952e601,False,False,False,False
86,0xb3f27decbe0cfae131259651ff59946ea2a745af,False,False,False,False
87,0x4fc2c1a968884285a3738f8f3eb389b584b04785,False,False,False,False
88,0xc8609af221dc552173d3c1d8f45156080feca8c6,False,False,False,False
89,0x5937a80d96eb232c6e9dc5335108af3682e9b396,False,False,False,False
90,0xc336c55e64ebe2bcaa92f60e32695754a286df2e,False,False,False,False
91,0xa4b2098236060740898fba04b2738c4614377d82,False,False,False,False
92,0x9c7430afc305b1bde1e40875cc508de0824a0463,False,False,False,False
93,0x7f688e99ee7dbae3d07b1b5f46e8ff3430fe5835,False,False,False,False
94,0xbed050c15224a53a12815fa79f2b1ef431887eb2,False,False,False,False
95,0x5dca2483280d9727c80b5518fac4556617fb194f,False,False,False,False
96,0x4e4760c52e980bd058054b7f230759f15c2d46e8,False,False,False,False
97,0x5c0265dcfbeea7a363098483fe4910052d4dd668,False,False,False,False
98,0xefe36c0aca42d1b1b813b9a080ceffc0c692be5a,False,False,False,False
99,0x1b2e7503a3da1f16c11be33d35640e379c80b94a,False,False,False,False
100,0xf1258d74c5188cbb1e5fe3d8508223525a4fcb23,False,False,False,False
101,0x3715192f83b33ab76f8ad0cb206e50b5b39bf8b8,False,False,False,False
102,0xb433bfae67fb21827d33702d7be539b5829a8c14,False,False,False,True
103,0x94866be528385546b658c85bdcc6f414a2fb5fd4,False,False,False,False
104,0x05f1f8c8d2212a6ee51d0ab8bd53558b0db9eef9,False,False,False,False
105,0xbb135f3a375559daf1a3a2f93415bc5d9085792d,False,False,False,False
106,0xd27ad36f9bd02c8261c12a60e359b19a6fa451b8,False,False,False,False
107,0x5076f87610ff3d5f859d562a050dae82f6b3c63e,False,False,False,False
108,0xe28033a9bd54202d5f2487dd2c8518f48f4f07c2,False,False,False,False
109,0xfb2b859131e5c9a5a06b4acfd7ed643f3625ffc6,False,False,False,True
110,0x7097e471aa66b04542ec47af97bbb7c4673b7bb7,False,False,False,False
111,0x8e4e5b2e5c39937a2474852f7b95aa7088f7272d,False,False,False,False
112,0x8195b46e29e82b2bc5fa06893a7baae6428a524a,False,False,False,False
113,0x95ec4b5d438c81c7412440aeefbd528c7e1e270c,False,False,False,False
114,0xc3cb9ca47458f4d8a7a010fff5ff75cafd6fa7fa,False,False,False,False
115,0x1639a160dbf54bcecd9f3ea00ade622dd3283efe,False,False,False,False
116,0x66d13d86a066fbbb9ab164087f1af0e2ae0b9d77,False,False,False,False
117,0x4d337e2800ac5f4409062d9c2b6446183d244dff,False,False,False,False
118,0xe782657a1043062087232b3c20c4d25e2a982cb3,False,False,False,False
119,0x4fabde849f3d23fb952ec868df6ae0eb97961207,False,False,False,False
120,0x1dc1994f907dfef4ba94c316b52f22ddbdedda27,False,False,False,False
121,0x4b8fa9979850a88fc5c197dbc30918c697d54c1c,False,False,False,False
122,0x0ad4a37bf44ace9fae7f762539e310da660594fe,False,False,False,False
123,0xfac219be81d0236e4167163111298934b53a6d95,False,False,False,False
124,0xaff17968fd266b1cbf69c19b8be90fc167d8d3ef,False,False,False,False
125,0x89c8c760aa12aa3b6aee65d81e802f449e9d856a,False,False,False,False
126,0xf861a4340733a0f7ae01d2195d3a7478449af3a1,False,False,False,False
127,0xc552d590393bbc053300f71e80d69d646542df7d,False,False,False,False
128,0xab7d58d12afad76e38cd9cbab3bc53b994f50545,False,False,False,False
129,0x38d9d53f0c7e3fb6c6e4b74e2a3857ad3e963e0f,False,False,False,False
130,0x78b74016f06eea3d9b5498aa30f6981f2a01cc84,False,False,False,False
131,0x4396179567ecebc591b67ca4edd77d1579002afa,False,False,False,False
132,0xe8327ccfa8fdb63db62012f33ef8665d7f590f7d,False,False,False,False
133,0x12386f065fe625eea83a292eed12d78e3ce549a2,False,False,False,False
134,0xe8b50533ec88a9067ba421a41ab6819f6f951a0d,False,False,False,False
135,0x5b80ebddac9c20779ff01a3136433cd23694fa94,False,False,False,False
136,0x176510002d193b84573a6cbee09b727a8a41a5d2,False,False,False,False
137,0xadc9feacf29960002cc478b9aeab4849d5f9edbe,False,False,False,False
138,0x17b877d1f03c57afdf96fc472b2b25bf318be658,False,False,False,False
139,0xb171efd5f65423cacae98f865ff6636c0f188839,False,False,False,False
140,0x3a40a2e23af55f14b98a4bbf1127d589f00e3fae,False,False,False,False
141,0x7bc4dc490903e046aec4303f03599dd6fd06851a,False,False,False,False
142,0x70a15f2b22505cc05528bf6321719a505f46b127,False,False,False,False
143,0xa7ca400d49bba87eb606ee05af93689bd21fab99,False,False,False,False
144,0x05e0a46a3a96478f8c6915f57e8089b3397e7cea,False,False,False,False
145,0x6d217ae5d7702ca449ade0dec159f3c3fe8f1c08,False,False,False,False
146,0xdd4cd50c68ee367af1dea73446d4e32fdcb5a437,False,False,False,False
147,0xc6d8e8f4a59820d0ff28bc3d2b4a803c28a19b08,False,False,False,False
